class,precision,recall,f1_score,support
Eating,0.671280276816609,0.7461538461538462,0.7067395264116576,260
Grooming actor,0.5652173913043478,0.33766233766233766,0.42276422764227645,77
Grooming receiver,0.9696969696969697,0.5614035087719298,0.7111111111111111,57
Resting,0.6972704714640199,0.878125,0.7773167358229599,320
Running,1.0,0.6666666666666666,0.8,6
Self-scratching,0.875,0.25925925925925924,0.4,27
Sleeping,1.0,0.5454545454545454,0.7058823529411765,22
Walking,0.8765432098765432,0.6635514018691588,0.7553191489361702,107
