"idindividual1","year_month","Final_behaviour","total_duration","prop_duration","year","n_scans","n_behaviours"
"Aar",2023-08-01,"Other",81,0.0340622371740959,2023,2,7
"Aar",2023-08-01,"Resting",341,0.143397813288478,2023,2,7
"Aar",2023-08-01,"Self-scratching",130,0.0546677880571909,2023,2,7
"Aar",2023-08-01,"Walking",66,0.0277544154751892,2023,2,7
"Aar",2023-09-01,"Forage",1898,0.785270997103848,2023,2,4
"Aar",2023-09-01,"Resting",371,0.153496069507654,2023,2,4
"Aar",2023-09-01,"Self-scratching",6,0.00248241621845263,2023,2,4
"Aar",2023-09-01,"Walking",142,0.0587505171700455,2023,2,4
"Ass",2022-06-01,"Forage",1140,0.972696245733788,2022,1,3
"Ass",2022-06-01,"Resting",28,0.0238907849829352,2022,1,3
"Ass",2022-06-01,"Self-scratching",4,0.00341296928327645,2022,1,3
"Ass",2022-07-01,"Forage",775,0.691964285714286,2022,1,6
"Ass",2022-07-01,"Grooming actor",21,0.01875,2022,1,6
"Ass",2022-07-01,"Other",82,0.0732142857142857,2022,1,6
"Ass",2022-07-01,"Resting",52,0.0464285714285714,2022,1,6
"Ass",2022-07-01,"Self-scratching",29,0.0258928571428571,2022,1,6
"Ass",2022-07-01,"Walking",161,0.14375,2022,1,6
"Ass",2023-01-01,"Forage",281,0.560878243512974,2023,1,4
"Ass",2023-01-01,"Other",50,0.0998003992015968,2023,1,4
"Ass",2023-01-01,"Resting",105,0.209580838323353,2023,1,4
"Ass",2023-01-01,"Self-scratching",65,0.129740518962076,2023,1,4
"Ass",2023-02-01,"Forage",10,0.0175746924428823,2023,2,4
"Ass",2023-02-01,"Other",98,0.172231985940246,2023,2,4
"Ass",2023-02-01,"Resting",421,0.739894551845343,2023,2,4
"Ass",2023-02-01,"Self-scratching",40,0.070298769771529,2023,2,4
"Ass",2023-04-01,"Forage",74,0.831460674157303,2023,1,2
"Ass",2023-04-01,"Other",15,0.168539325842697,2023,1,2
"Ass",2023-07-01,"Other",197,0.23258559622196,2023,1,4
"Ass",2023-07-01,"Resting",230,0.271546635182999,2023,1,4
"Ass",2023-07-01,"Self-scratching",316,0.373081463990555,2023,1,4
"Ass",2023-07-01,"Walking",104,0.122786304604486,2023,1,4
"Deli",2022-06-01,"Grooming actor",411,0.413065326633166,2022,2,6
"Deli",2022-06-01,"Grooming receiver",330,0.331658291457286,2022,2,6
"Deli",2022-06-01,"Other",172,0.17286432160804,2022,2,6
"Deli",2022-06-01,"Resting",34,0.0341708542713568,2022,2,6
"Deli",2022-06-01,"Self-scratching",25,0.0251256281407035,2022,2,6
"Deli",2022-06-01,"Walking",23,0.0231155778894472,2022,2,6
"Deli",2022-07-01,"Forage",530,0.322384428223844,2022,3,7
"Deli",2022-07-01,"Grooming actor",250,0.152068126520681,2022,3,7
"Deli",2022-07-01,"Grooming receiver",102,0.062043795620438,2022,3,7
"Deli",2022-07-01,"Other",302,0.183698296836983,2022,3,7
"Deli",2022-07-01,"Resting",205,0.124695863746959,2022,3,7
"Deli",2022-07-01,"Self-scratching",63,0.0383211678832117,2022,3,7
"Deli",2022-07-01,"Walking",192,0.116788321167883,2022,3,7
"Deli",2022-08-01,"Forage",944,0.906820365033622,2022,1,3
"Deli",2022-08-01,"Running",7,0.00672430355427474,2022,1,3
"Deli",2022-08-01,"Walking",90,0.0864553314121038,2022,1,3
"Deli",2022-09-01,"Forage",979,0.281807714450201,2022,3,7
"Deli",2022-09-01,"Grooming actor",684,0.196891191709845,2022,3,7
"Deli",2022-09-01,"Grooming receiver",356,0.102475532527346,2022,3,7
"Deli",2022-09-01,"Other",220,0.0633275762809442,2022,3,7
"Deli",2022-09-01,"Resting",1146,0.329879101899827,2022,3,7
"Deli",2022-09-01,"Self-scratching",25,0.00719631548647093,2022,3,7
"Deli",2022-09-01,"Walking",64,0.0184225676453656,2022,3,7
"Deli",2022-10-01,"Forage",442,0.387040280210158,2022,1,5
"Deli",2022-10-01,"Other",155,0.135726795096322,2022,1,5
"Deli",2022-10-01,"Resting",490,0.42907180385289,2022,1,5
"Deli",2022-10-01,"Self-scratching",27,0.0236427320490368,2022,1,5
"Deli",2022-10-01,"Walking",28,0.0245183887915937,2022,1,5
"Deli",2022-11-01,"Forage",787,0.539780521262003,2022,3,7
"Deli",2022-11-01,"Grooming actor",31,0.0212620027434842,2022,3,7
"Deli",2022-11-01,"Other",165,0.113168724279835,2022,3,7
"Deli",2022-11-01,"Resting",344,0.235939643347051,2022,3,7
"Deli",2022-11-01,"Running",5,0.00342935528120713,2022,3,7
"Deli",2022-11-01,"Self-scratching",80,0.0548696844993141,2022,3,7
"Deli",2022-11-01,"Walking",46,0.0315500685871056,2022,3,7
"Deli",2023-04-01,"Forage",28,0.0267686424474187,2023,1,7
"Deli",2023-04-01,"Other",57,0.0544933078393881,2023,1,7
"Deli",2023-04-01,"Resting",893,0.853728489483748,2023,1,7
"Deli",2023-04-01,"Running",3,0.00286806883365201,2023,1,7
"Deli",2023-04-01,"Self-scratching",22,0.0210325047801147,2023,1,7
"Deli",2023-04-01,"Sleeping",16,0.0152963671128107,2023,1,7
"Deli",2023-04-01,"Walking",27,0.0258126195028681,2023,1,7
"Dok",2022-06-01,"Forage",2060,0.860484544695071,2022,2,5
"Dok",2022-06-01,"Resting",205,0.0856307435254804,2022,2,5
"Dok",2022-06-01,"Running",39,0.0162907268170426,2022,2,5
"Dok",2022-06-01,"Self-scratching",3,0.0012531328320802,2022,2,5
"Dok",2022-06-01,"Walking",87,0.0363408521303258,2022,2,5
"Fle",2022-06-01,"Forage",1344,0.343997952393141,2022,5,7
"Fle",2022-06-01,"Grooming actor",31,0.00793447658049654,2022,5,7
"Fle",2022-06-01,"Other",541,0.138469413872536,2022,5,7
"Fle",2022-06-01,"Resting",1864,0.477092398259534,2022,5,7
"Fle",2022-06-01,"Running",11,0.0028154594317891,2022,5,7
"Fle",2022-06-01,"Self-scratching",18,0.0046071154338367,2022,5,7
"Fle",2022-06-01,"Walking",98,0.0250831840286665,2022,5,7
"Fle",2022-07-01,"Forage",1618,0.402187422321651,2022,3,7
"Fle",2022-07-01,"Grooming receiver",177,0.0439970171513796,2022,3,7
"Fle",2022-07-01,"Other",213,0.0529455630126771,2022,3,7
"Fle",2022-07-01,"Resting",1526,0.379318916231668,2022,3,7
"Fle",2022-07-01,"Running",76,0.0188913745960726,2022,3,7
"Fle",2022-07-01,"Self-scratching",82,0.0203827989062888,2022,3,7
"Fle",2022-07-01,"Walking",331,0.0822769077802635,2022,3,7
"Fle",2022-08-01,"Forage",1728,0.492728828058169,2022,3,6
"Fle",2022-08-01,"Other",136,0.0387795836897633,2022,3,6
"Fle",2022-08-01,"Resting",1505,0.429141716566866,2022,3,6
"Fle",2022-08-01,"Running",9,0.00256629597946963,2022,3,6
"Fle",2022-08-01,"Self-scratching",46,0.013116623895067,2022,3,6
"Fle",2022-08-01,"Walking",83,0.0236669518106644,2022,3,6
"Fle",2022-09-01,"Forage",846,0.297259311314125,2022,3,8
"Fle",2022-09-01,"Grooming actor",213,0.0748418833450457,2022,3,8
"Fle",2022-09-01,"Grooming receiver",157,0.0551651440618412,2022,3,8
"Fle",2022-09-01,"Other",116,0.0407589599437807,2022,3,8
"Fle",2022-09-01,"Resting",1107,0.388966971187632,2022,3,8
"Fle",2022-09-01,"Running",47,0.0165144061841181,2022,3,8
"Fle",2022-09-01,"Self-scratching",63,0.0221363316936051,2022,3,8
"Fle",2022-09-01,"Walking",297,0.104356992269852,2022,3,8
"Fle",2022-10-01,"Forage",55,0.222672064777328,2022,1,5
"Fle",2022-10-01,"Other",23,0.0931174089068826,2022,1,5
"Fle",2022-10-01,"Resting",47,0.190283400809717,2022,1,5
"Fle",2022-10-01,"Running",19,0.0769230769230769,2022,1,5
"Fle",2022-10-01,"Walking",103,0.417004048582996,2022,1,5
"Fle",2022-11-01,"Forage",1165,0.334193918531268,2022,3,7
"Fle",2022-11-01,"Grooming receiver",189,0.0542168674698795,2022,3,7
"Fle",2022-11-01,"Other",90,0.0258175559380379,2022,3,7
"Fle",2022-11-01,"Resting",1618,0.464142283419392,2022,3,7
"Fle",2022-11-01,"Running",17,0.00487664945496271,2022,3,7
"Fle",2022-11-01,"Self-scratching",102,0.0292598967297762,2022,3,7
"Fle",2022-11-01,"Walking",305,0.0874928284566839,2022,3,7
"Fle",2022-12-01,"Forage",1271,0.38122375524895,2022,3,6
"Fle",2022-12-01,"Other",195,0.0584883023395321,2022,3,6
"Fle",2022-12-01,"Resting",1479,0.443611277744451,2022,3,6
"Fle",2022-12-01,"Running",62,0.0185962807438512,2022,3,6
"Fle",2022-12-01,"Self-scratching",145,0.0434913017396521,2022,3,6
"Fle",2022-12-01,"Walking",182,0.0545890821835633,2022,3,6
"Fle",2023-01-01,"Forage",743,0.244971974942301,2023,3,6
"Fle",2023-01-01,"Other",468,0.154302670623145,2023,3,6
"Fle",2023-01-01,"Resting",1211,0.399274645565447,2023,3,6
"Fle",2023-01-01,"Self-scratching",232,0.0764919221892516,2023,3,6
"Fle",2023-01-01,"Sleeping",103,0.0339597757995384,2023,3,6
"Fle",2023-01-01,"Walking",276,0.0909990108803165,2023,3,6
"Fle",2023-02-01,"Forage",528,0.324324324324324,2023,3,6
"Fle",2023-02-01,"Other",69,0.0423832923832924,2023,3,6
"Fle",2023-02-01,"Resting",502,0.308353808353808,2023,3,6
"Fle",2023-02-01,"Running",85,0.0522113022113022,2023,3,6
"Fle",2023-02-01,"Self-scratching",197,0.121007371007371,2023,3,6
"Fle",2023-02-01,"Walking",247,0.151719901719902,2023,3,6
"Fle",2023-03-01,"Forage",1938,0.244975350777399,2023,7,7
"Fle",2023-03-01,"Grooming actor",274,0.0346353179117684,2023,7,7
"Fle",2023-03-01,"Other",465,0.0587789154342055,2023,7,7
"Fle",2023-03-01,"Resting",3094,0.391100998609531,2023,7,7
"Fle",2023-03-01,"Self-scratching",392,0.049551257742384,2023,7,7
"Fle",2023-03-01,"Sleeping",1351,0.170774870433574,2023,7,7
"Fle",2023-03-01,"Walking",397,0.0501832890911389,2023,7,7
"Fle",2023-04-01,"Forage",2752,0.296807592752373,2023,8,9
"Fle",2023-04-01,"Grooming actor",541,0.0583477135461605,2023,8,9
"Fle",2023-04-01,"Grooming receiver",345,0.0372088006902502,2023,8,9
"Fle",2023-04-01,"Other",383,0.0413071613459879,2023,8,9
"Fle",2023-04-01,"Resting",2942,0.317299396031061,2023,8,9
"Fle",2023-04-01,"Running",166,0.0179033649698016,2023,8,9
"Fle",2023-04-01,"Self-scratching",696,0.0750647109577222,2023,8,9
"Fle",2023-04-01,"Sleeping",108,0.0116479723899914,2023,8,9
"Fle",2023-04-01,"Walking",1339,0.144413287316652,2023,8,9
"Fle",2023-05-01,"Forage",1038,0.872268907563025,2023,1,5
"Fle",2023-05-01,"Other",7,0.00588235294117647,2023,1,5
"Fle",2023-05-01,"Running",8,0.00672268907563025,2023,1,5
"Fle",2023-05-01,"Self-scratching",6,0.00504201680672269,2023,1,5
"Fle",2023-05-01,"Walking",131,0.110084033613445,2023,1,5
"Flu",2022-06-01,"Forage",1491,0.427588184685976,2022,3,6
"Flu",2022-06-01,"Other",317,0.0909090909090909,2022,3,6
"Flu",2022-06-01,"Resting",1249,0.35818755377115,2022,3,6
"Flu",2022-06-01,"Running",148,0.0424433610553484,2022,3,6
"Flu",2022-06-01,"Self-scratching",45,0.0129050759965586,2022,3,6
"Flu",2022-06-01,"Walking",237,0.0679667335818755,2022,3,6
"Flu",2022-07-01,"Forage",2804,0.404267589388697,2022,7,8
"Flu",2022-07-01,"Grooming actor",863,0.124423298731257,2022,7,8
"Flu",2022-07-01,"Grooming receiver",680,0.0980392156862745,2022,7,8
"Flu",2022-07-01,"Other",389,0.0560841983852364,2022,7,8
"Flu",2022-07-01,"Resting",1150,0.165801614763552,2022,7,8
"Flu",2022-07-01,"Running",75,0.0108131487889273,2022,7,8
"Flu",2022-07-01,"Self-scratching",163,0.0235005767012687,2022,7,8
"Flu",2022-07-01,"Walking",812,0.117070357554787,2022,7,8
"Flu",2022-08-01,"Forage",781,0.170710382513661,2022,4,9
"Flu",2022-08-01,"Grooming actor",349,0.0762841530054645,2022,4,9
"Flu",2022-08-01,"Grooming receiver",843,0.184262295081967,2022,4,9
"Flu",2022-08-01,"Other",923,0.201748633879781,2022,4,9
"Flu",2022-08-01,"Resting",1192,0.260546448087432,2022,4,9
"Flu",2022-08-01,"Running",9,0.0019672131147541,2022,4,9
"Flu",2022-08-01,"Self-scratching",117,0.0255737704918033,2022,4,9
"Flu",2022-08-01,"Sleeping",150,0.0327868852459016,2022,4,9
"Flu",2022-08-01,"Walking",211,0.046120218579235,2022,4,9
"Flu",2022-09-01,"Forage",1191,0.497078464106845,2022,3,6
"Flu",2022-09-01,"Other",163,0.0680300500834725,2022,3,6
"Flu",2022-09-01,"Resting",568,0.237061769616027,2022,3,6
"Flu",2022-09-01,"Running",52,0.0217028380634391,2022,3,6
"Flu",2022-09-01,"Self-scratching",59,0.0246243739565943,2022,3,6
"Flu",2022-09-01,"Walking",363,0.151502504173623,2022,3,6
"Flu",2022-10-01,"Forage",331,0.276524644945698,2022,1,7
"Flu",2022-10-01,"Grooming receiver",60,0.050125313283208,2022,1,7
"Flu",2022-10-01,"Other",35,0.0292397660818713,2022,1,7
"Flu",2022-10-01,"Resting",291,0.243107769423559,2022,1,7
"Flu",2022-10-01,"Running",41,0.0342522974101921,2022,1,7
"Flu",2022-10-01,"Self-scratching",60,0.050125313283208,2022,1,7
"Flu",2022-10-01,"Walking",379,0.316624895572264,2022,1,7
"Flu",2022-11-01,"Forage",3997,0.55444583159939,2022,7,8
"Flu",2022-11-01,"Grooming actor",327,0.0453599667082813,2022,7,8
"Flu",2022-11-01,"Grooming receiver",186,0.0258010819808573,2022,7,8
"Flu",2022-11-01,"Other",340,0.0471632681370509,2022,7,8
"Flu",2022-11-01,"Resting",1412,0.195866278263282,2022,7,8
"Flu",2022-11-01,"Running",150,0.0208073241781107,2022,7,8
"Flu",2022-11-01,"Self-scratching",165,0.0228880565959218,2022,7,8
"Flu",2022-11-01,"Walking",632,0.0876681925371064,2022,7,8
"Flu",2022-12-01,"Forage",319,0.254792332268371,2022,2,6
"Flu",2022-12-01,"Other",133,0.106230031948882,2022,2,6
"Flu",2022-12-01,"Resting",486,0.388178913738019,2022,2,6
"Flu",2022-12-01,"Running",47,0.0375399361022364,2022,2,6
"Flu",2022-12-01,"Self-scratching",86,0.0686900958466454,2022,2,6
"Flu",2022-12-01,"Walking",181,0.144568690095847,2022,2,6
"Flu",2023-01-01,"Forage",504,0.413793103448276,2023,1,7
"Flu",2023-01-01,"Grooming actor",30,0.0246305418719212,2023,1,7
"Flu",2023-01-01,"Grooming receiver",55,0.0451559934318555,2023,1,7
"Flu",2023-01-01,"Other",125,0.102627257799672,2023,1,7
"Flu",2023-01-01,"Resting",312,0.25615763546798,2023,1,7
"Flu",2023-01-01,"Self-scratching",87,0.0714285714285714,2023,1,7
"Flu",2023-01-01,"Walking",105,0.0862068965517241,2023,1,7
"Fur",2022-06-01,"Forage",3718,0.610609295450813,2022,6,7
"Fur",2022-06-01,"Grooming actor",88,0.0144522910165873,2022,6,7
"Fur",2022-06-01,"Grooming receiver",19,0.00312038101494498,2022,6,7
"Fur",2022-06-01,"Other",210,0.0344884217441288,2022,6,7
"Fur",2022-06-01,"Resting",1501,0.246510100180654,2022,6,7
"Fur",2022-06-01,"Self-scratching",126,0.0206930530464773,2022,6,7
"Fur",2022-06-01,"Walking",427,0.0701264575463951,2022,6,7
"Fur",2022-07-01,"Forage",3310,0.354731540027864,2022,8,9
"Fur",2022-07-01,"Grooming actor",469,0.0502625656414104,2022,8,9
"Fur",2022-07-01,"Grooming receiver",390,0.0417961633265459,2022,8,9
"Fur",2022-07-01,"Other",887,0.0950594791555032,2022,8,9
"Fur",2022-07-01,"Resting",2447,0.262244132461687,2022,8,9
"Fur",2022-07-01,"Running",8,0.000857357196441968,2022,8,9
"Fur",2022-07-01,"Self-scratching",531,0.0569070839138356,2022,8,9
"Fur",2022-07-01,"Sleeping",839,0.0899153359768513,2022,8,9
"Fur",2022-07-01,"Walking",450,0.0482263422998607,2022,8,9
"Fur",2022-08-01,"Forage",3938,0.574974448824646,2022,6,7
"Fur",2022-08-01,"Grooming receiver",256,0.0373777193750913,2022,6,7
"Fur",2022-08-01,"Other",165,0.0240911081909768,2022,6,7
"Fur",2022-08-01,"Resting",2167,0.316396554241495,2022,6,7
"Fur",2022-08-01,"Running",30,0.00438020148926851,2022,6,7
"Fur",2022-08-01,"Self-scratching",188,0.0274492626660826,2022,6,7
"Fur",2022-08-01,"Walking",105,0.0153307052124398,2022,6,7
"Fur",2022-09-01,"Forage",4300,0.395656974604343,2022,9,9
"Fur",2022-09-01,"Grooming actor",430,0.0395656974604343,2022,9,9
"Fur",2022-09-01,"Grooming receiver",344,0.0316525579683474,2022,9,9
"Fur",2022-09-01,"Other",685,0.0630290761869709,2022,9,9
"Fur",2022-09-01,"Resting",4211,0.387467795362532,2022,9,9
"Fur",2022-09-01,"Running",39,0.00358851674641148,2022,9,9
"Fur",2022-09-01,"Self-scratching",308,0.0283400809716599,2022,9,9
"Fur",2022-09-01,"Sleeping",90,0.00828119249171881,2022,9,9
"Fur",2022-09-01,"Walking",461,0.0424181082075819,2022,9,9
"Fur",2022-10-01,"Forage",5270,0.547134551495017,2022,8,9
"Fur",2022-10-01,"Grooming actor",180,0.018687707641196,2022,8,9
"Fur",2022-10-01,"Grooming receiver",266,0.0276162790697674,2022,8,9
"Fur",2022-10-01,"Other",359,0.0372715946843854,2022,8,9
"Fur",2022-10-01,"Resting",3025,0.3140573089701,2022,8,9
"Fur",2022-10-01,"Running",46,0.00477574750830565,2022,8,9
"Fur",2022-10-01,"Self-scratching",182,0.0188953488372093,2022,8,9
"Fur",2022-10-01,"Sleeping",80,0.00830564784053156,2022,8,9
"Fur",2022-10-01,"Walking",224,0.0232558139534884,2022,8,9
"Fur",2022-11-01,"Forage",2552,0.439696760854583,2022,5,8
"Fur",2022-11-01,"Grooming actor",34,0.00585802894555479,2022,5,8
"Fur",2022-11-01,"Grooming receiver",101,0.0174017918676775,2022,5,8
"Fur",2022-11-01,"Other",374,0.0644383184011027,2022,5,8
"Fur",2022-11-01,"Resting",2178,0.37525844245348,2022,5,8
"Fur",2022-11-01,"Running",4,0.000689179875947622,2022,5,8
"Fur",2022-11-01,"Self-scratching",275,0.047381116471399,2022,5,8
"Fur",2022-11-01,"Walking",286,0.049276361130255,2022,5,8
"Fur",2022-12-01,"Forage",279,0.0771570796460177,2022,4,7
"Fur",2022-12-01,"Grooming actor",126,0.0348451327433628,2022,4,7
"Fur",2022-12-01,"Grooming receiver",161,0.0445243362831858,2022,4,7
"Fur",2022-12-01,"Other",536,0.148230088495575,2022,4,7
"Fur",2022-12-01,"Resting",2118,0.585730088495575,2022,4,7
"Fur",2022-12-01,"Self-scratching",120,0.0331858407079646,2022,4,7
"Fur",2022-12-01,"Sleeping",276,0.0763274336283186,2022,4,7
"Fur",2023-01-01,"Forage",788,0.333474396953026,2023,2,7
"Fur",2023-01-01,"Other",35,0.0148116800677105,2023,2,7
"Fur",2023-01-01,"Resting",504,0.213288192975032,2023,2,7
"Fur",2023-01-01,"Running",9,0.003808717731697,2023,2,7
"Fur",2023-01-01,"Self-scratching",225,0.0952179432924249,2023,2,7
"Fur",2023-01-01,"Sleeping",791,0.334743969530258,2023,2,7
"Fur",2023-01-01,"Walking",11,0.00465509944985188,2023,2,7
"Fur",2023-02-01,"Forage",241,0.154487179487179,2023,2,7
"Fur",2023-02-01,"Grooming actor",265,0.169871794871795,2023,2,7
"Fur",2023-02-01,"Grooming receiver",69,0.0442307692307692,2023,2,7
"Fur",2023-02-01,"Other",187,0.119871794871795,2023,2,7
"Fur",2023-02-01,"Resting",531,0.340384615384615,2023,2,7
"Fur",2023-02-01,"Self-scratching",158,0.101282051282051,2023,2,7
"Fur",2023-02-01,"Walking",109,0.0698717948717949,2023,2,7
"Fur",2023-03-01,"Forage",2115,0.294527224620526,2023,7,9
"Fur",2023-03-01,"Grooming actor",182,0.025344659518173,2023,7,9
"Fur",2023-03-01,"Grooming receiver",16,0.00222810193566356,2023,7,9
"Fur",2023-03-01,"Other",475,0.0661467762150118,2023,7,9
"Fur",2023-03-01,"Resting",2779,0.386993454950564,2023,7,9
"Fur",2023-03-01,"Running",44,0.00612728032307478,2023,7,9
"Fur",2023-03-01,"Self-scratching",296,0.0412198858097758,2023,7,9
"Fur",2023-03-01,"Sleeping",1187,0.16529731235204,2023,7,9
"Fur",2023-03-01,"Walking",87,0.0121153042751706,2023,7,9
"Fur",2023-04-01,"Forage",1810,0.297599473857284,2023,5,8
"Fur",2023-04-01,"Grooming actor",86,0.0141400854981914,2023,5,8
"Fur",2023-04-01,"Other",518,0.0851693521867807,2023,5,8
"Fur",2023-04-01,"Resting",2870,0.471884248602433,2023,5,8
"Fur",2023-04-01,"Running",26,0.00427490956922065,2023,5,8
"Fur",2023-04-01,"Self-scratching",408,0.067083196317001,2023,5,8
"Fur",2023-04-01,"Sleeping",40,0.00657678395264716,2023,5,8
"Fur",2023-04-01,"Walking",324,0.053271950016442,2023,5,8
"Fur",2023-05-01,"Forage",2698,0.566925824753099,2023,5,7
"Fur",2023-05-01,"Grooming actor",127,0.0266862786299643,2023,5,7
