"comparison","metric","Chisq","Df","Pr(>Chisq)"
"burst","accuracy",2.88220017501552,3,0.410146442268842
"burst","roc_auc",1.06792864458673,3,0.784821325568431
"correction_type","accuracy",8.23235705661918,2,0.016306711159821
"correction_type","roc_auc",8.77034072449645,2,0.0124607651095375
"model","accuracy",515.17308148321,8,3.90186982845778e-106
"model","roc_auc",928.003548060406,8,5.13817105684557e-195
