class,precision,recall,f1_score,support
Eating,0.6875,0.8208955223880597,0.7482993197278912,67
Grooming actor,0.625,0.5263157894736842,0.5714285714285714,19
Grooming receiver,0.5,0.21428571428571427,0.3,14
Resting,0.7380952380952381,0.7948717948717948,0.7654320987654322,78
Running,0.0,0.0,0.0,1
Self-scratching,0.0,0.0,0.0,2
Sleeping,1.0,0.6,0.7499999999999999,5
Walking,0.7777777777777778,0.5833333333333334,0.6666666666666666,24
