burst,correction_type,target,random_seed,model,params,train_loss,valid_loss,accuracy,roc_auc,balanced_acc,f1_score,precision,recall,time
Burst_1,rotbasal,Behaviour,42,HydraMultiRocketPlus,{},0.10479885339736938,0.8588128089904785,0.738095223903656,0.9477571002659515,0.5840548198855346,0.7228930550973208,0.7367721486229377,0.7380952380952381,48
Burst_1,rotbasal,Behaviour,42,LSTM,"{'n_layers': 6, 'bidirectional': True}",1.4594011306762695,1.5396394729614258,0.37142857909202576,0.5607567709542004,0.13232600732600733,0.2085448916408669,0.1603864734299517,0.37142857142857144,11
Burst_1,rotbasal,Behaviour,42,TSSequencerPlus,{},0.5784453749656677,1.0449283123016357,0.6095238327980042,0.8615739559853387,0.29056851190835875,0.5589968517118222,0.6039475500345066,0.6095238095238096,39
Burst_1,rotbasal,Behaviour,100,HydraMultiRocketPlus,{},0.08350345492362976,0.7028116583824158,0.7571428418159485,0.957066796363236,0.49785794854530124,0.7498978675597324,0.7558402712300185,0.7571428571428571,50
Burst_1,rotbasal,Behaviour,100,LSTM,"{'n_layers': 6, 'bidirectional': True}",1.5049641132354736,1.5237773656845093,0.3761904835700989,0.5470937800596314,0.13392857142857142,0.2109307359307359,0.17261904761904762,0.3761904761904762,11
Burst_1,rotbasal,Behaviour,100,TSSequencerPlus,{},0.7273176312446594,0.9738906025886536,0.6333333253860474,0.8851434353127535,0.3298574093816631,0.5843471843471844,0.5543756755038464,0.6333333333333333,40
Burst_1,rotbasal,Behaviour,123,HydraMultiRocketPlus,{},0.1024661511182785,0.7473369836807251,0.7523809671401978,0.9287027933903289,0.6163101586486307,0.7442318491527125,0.7445746845746845,0.7523809523809524,50
Burst_1,rotbasal,Behaviour,123,LSTM,"{'n_layers': 6, 'bidirectional': True}",1.5149590969085693,1.5106329917907715,0.3761904835700989,0.5235704239349175,0.12686567164179105,0.21360751210574533,0.2051335656213705,0.3761904761904762,11
Burst_1,rotbasal,Behaviour,123,TSSequencerPlus,{},0.4137406647205353,1.0740973949432373,0.6047618985176086,0.8776091111619185,0.32771235458048104,0.5660147907647908,0.5744938019628092,0.6047619047619047,40
Burst_1,rotbasal,Behaviour,1234,HydraMultiRocketPlus,{},0.11449746787548065,0.6320509910583496,0.7523809671401978,0.9632369042991582,0.5489304309856156,0.7467170692021502,0.744678149115124,0.7523809523809524,49
Burst_1,rotbasal,Behaviour,1234,LSTM,"{'n_layers': 6, 'bidirectional': True}",1.532910704612732,1.537347674369812,0.37142857909202576,0.5745096072756151,0.125,0.2011904761904762,0.13795918367346938,0.37142857142857144,11
Burst_1,rotbasal,Behaviour,1234,TSSequencerPlus,{},0.7867487668991089,1.059300184249878,0.6000000238418579,0.8236425213988047,0.33329147531572906,0.5593744310671777,0.5245133951016304,0.6,40
Burst_1,rotbasal,Behaviour,123456,HydraMultiRocketPlus,{},0.1332940310239792,0.7479720115661621,0.723809540271759,0.9498123433458079,0.6349687544061071,0.7178300460996638,0.719687790905836,0.7238095238095238,49
Burst_1,rotbasal,Behaviour,123456,LSTM,"{'n_layers': 6, 'bidirectional': True}",1.5222257375717163,1.5116372108459473,0.380952388048172,0.5529455672971689,0.14285714285714285,0.21926406926406924,0.20595238095238094,0.38095238095238093,11
Burst_1,rotbasal,Behaviour,123456,TSSequencerPlus,{},0.8989066481590271,1.1245079040527344,0.6000000238418579,0.8038690692883597,0.31901703706741025,0.5569397611157668,0.5281888749651907,0.6,40
Burst_1,rotdaily,Behaviour,42,HydraMultiRocketPlus,{},0.1342466026544571,0.8909553289413452,0.6857143044471741,0.9285753042064315,0.47891008735961604,0.6708884583643755,0.6923088615291079,0.6857142857142857,49
Burst_1,rotdaily,Behaviour,42,LSTM,"{'n_layers': 6, 'bidirectional': True}",1.4633296728134155,1.5287944078445435,0.3761904835700989,0.5397395891514902,0.13419167896779838,0.21921103567150219,0.321258226867983,0.3761904761904762,11
Burst_1,rotdaily,Behaviour,42,TSSequencerPlus,{},0.5226143598556519,1.184944748878479,0.5809524059295654,0.8425640121641087,0.29423452790990107,0.5335083546590396,0.5029716963126108,0.580952380952381,40
Burst_1,rotdaily,Behaviour,100,HydraMultiRocketPlus,{},0.08236997574567795,0.7146493196487427,0.7666666507720947,0.9402056394531182,0.5021295345136665,0.7610279543624905,0.7606011635423401,0.7666666666666667,49
Burst_1,rotdaily,Behaviour,100,LSTM,"{'n_layers': 6, 'bidirectional': True}",1.508390188217163,1.4990458488464355,0.3857142925262451,0.5864718265825164,0.15178571428571427,0.22683768244139763,0.20662525879917185,0.38571428571428573,11
Burst_1,rotdaily,Behaviour,100,TSSequencerPlus,{},0.34247371554374695,1.16739022731781,0.6095238327980042,0.8276905154280049,0.31466722021759336,0.5703776401071378,0.5439187796330653,0.6095238095238096,40
Burst_1,rotdaily,Behaviour,123,HydraMultiRocketPlus,{},0.18059402704238892,0.7202087640762329,0.7571428418159485,0.8845669649959977,0.6279389094147538,0.7546413633181244,0.7614192356892943,0.7571428571428571,49
Burst_1,rotdaily,Behaviour,123,LSTM,"{'n_layers': 6, 'bidirectional': True}",1.4894263744354248,1.5125677585601807,0.380952388048172,0.5546023594496018,0.14285714285714285,0.21926406926406924,0.20595238095238094,0.38095238095238093,11
Burst_1,rotdaily,Behaviour,123,TSSequencerPlus,{},0.7655120491981506,1.080345869064331,0.6095238327980042,0.8510783515036103,0.30666635913837403,0.5577141450895604,0.5460869122159445,0.6095238095238096,41
