burst,correction_type,target,random_seed,model,actual_label,predicted_label,count
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Walking,Running,0
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Walking,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Walking,Sleeping,0
Burst_1,rotbasal,Behaviour,42,CategoryEmbeddingModel,Walking,Walking,23
Burst_1,rotbasal,Behaviour,42,GANDALF,Eating,Eating,62
Burst_1,rotbasal,Behaviour,42,GANDALF,Eating,Grooming actor,1
Burst_1,rotbasal,Behaviour,42,GANDALF,Eating,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Eating,Resting,17
Burst_1,rotbasal,Behaviour,42,GANDALF,Eating,Running,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Eating,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Eating,Sleeping,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Eating,Walking,3
Burst_1,rotbasal,Behaviour,42,GANDALF,Grooming actor,Eating,3
Burst_1,rotbasal,Behaviour,42,GANDALF,Grooming actor,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Grooming actor,Grooming receiver,1
Burst_1,rotbasal,Behaviour,42,GANDALF,Grooming actor,Resting,19
Burst_1,rotbasal,Behaviour,42,GANDALF,Grooming actor,Running,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Grooming actor,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Grooming actor,Sleeping,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Grooming actor,Walking,1
Burst_1,rotbasal,Behaviour,42,GANDALF,Grooming receiver,Eating,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Grooming receiver,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Grooming receiver,Grooming receiver,6
Burst_1,rotbasal,Behaviour,42,GANDALF,Grooming receiver,Resting,12
Burst_1,rotbasal,Behaviour,42,GANDALF,Grooming receiver,Running,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Grooming receiver,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Grooming receiver,Sleeping,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Grooming receiver,Walking,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Resting,Eating,14
Burst_1,rotbasal,Behaviour,42,GANDALF,Resting,Grooming actor,1
Burst_1,rotbasal,Behaviour,42,GANDALF,Resting,Grooming receiver,2
Burst_1,rotbasal,Behaviour,42,GANDALF,Resting,Resting,77
Burst_1,rotbasal,Behaviour,42,GANDALF,Resting,Running,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Resting,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Resting,Sleeping,3
Burst_1,rotbasal,Behaviour,42,GANDALF,Resting,Walking,1
Burst_1,rotbasal,Behaviour,42,GANDALF,Running,Eating,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Running,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Running,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Running,Resting,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Running,Running,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Running,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Running,Sleeping,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Running,Walking,1
Burst_1,rotbasal,Behaviour,42,GANDALF,Self-scratching,Eating,1
Burst_1,rotbasal,Behaviour,42,GANDALF,Self-scratching,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Self-scratching,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Self-scratching,Resting,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Self-scratching,Running,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Self-scratching,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Self-scratching,Sleeping,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Self-scratching,Walking,1
Burst_1,rotbasal,Behaviour,42,GANDALF,Sleeping,Eating,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Sleeping,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Sleeping,Grooming receiver,1
Burst_1,rotbasal,Behaviour,42,GANDALF,Sleeping,Resting,1
Burst_1,rotbasal,Behaviour,42,GANDALF,Sleeping,Running,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Sleeping,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Sleeping,Sleeping,4
Burst_1,rotbasal,Behaviour,42,GANDALF,Sleeping,Walking,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Walking,Eating,12
Burst_1,rotbasal,Behaviour,42,GANDALF,Walking,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Walking,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Walking,Resting,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Walking,Running,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Walking,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Walking,Sleeping,0
Burst_1,rotbasal,Behaviour,42,GANDALF,Walking,Walking,19
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Eating,Eating,66
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Eating,Grooming actor,2
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Eating,Grooming receiver,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Eating,Resting,13
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Eating,Running,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Eating,Self-scratching,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Eating,Sleeping,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Eating,Walking,3
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Grooming actor,Eating,7
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Grooming actor,Grooming actor,10
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Grooming actor,Grooming receiver,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Grooming actor,Resting,7
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Grooming actor,Running,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Grooming actor,Self-scratching,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Grooming actor,Sleeping,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Grooming actor,Walking,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Grooming receiver,Eating,1
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Grooming receiver,Grooming actor,1
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Grooming receiver,Grooming receiver,8
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Grooming receiver,Resting,8
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Grooming receiver,Running,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Grooming receiver,Self-scratching,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Grooming receiver,Sleeping,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Grooming receiver,Walking,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Resting,Eating,15
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Resting,Grooming actor,4
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Resting,Grooming receiver,3
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Resting,Resting,76
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Resting,Running,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Resting,Self-scratching,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Resting,Sleeping,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Resting,Walking,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Running,Eating,1
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Running,Grooming actor,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Running,Grooming receiver,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Running,Resting,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Running,Running,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Running,Self-scratching,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Running,Sleeping,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Running,Walking,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Self-scratching,Eating,2
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Self-scratching,Grooming actor,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Self-scratching,Grooming receiver,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Self-scratching,Resting,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Self-scratching,Running,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Self-scratching,Self-scratching,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Self-scratching,Sleeping,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Self-scratching,Walking,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Sleeping,Eating,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Sleeping,Grooming actor,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Sleeping,Grooming receiver,2
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Sleeping,Resting,2
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Sleeping,Running,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Sleeping,Self-scratching,0
Burst_1,rotbasal,Behaviour,100,CategoryEmbeddingModel,Sleeping,Sleeping,2
