"Ind_ID","year_month","Final_behaviour","prop_focal","prop_pred"
"Fluister",2022-09-01,"Walking",0.151502504173623,0.145394736842105
"Furry Glen",2022-07-01,"Eating",0.354731540027864,0.300505801844689
"Furry Glen",2022-07-01,"Grooming actor",0.0502625656414104,0.038083903600119
"Furry Glen",2022-07-01,"Grooming receiver",0.0417961633265459,0.127045522166022
"Furry Glen",2022-07-01,"Resting",0.262244132461687,0.354656352276108
"Furry Glen",2022-07-01,"Running",0.000857357196441968,0.00773579291877417
"Furry Glen",2022-07-01,"Self-scratching",0.0569070839138356,0.00029753049687593
"Furry Glen",2022-07-01,"Sleeping",0.0899153359768513,0.0461172270157691
"Furry Glen",2022-07-01,"Walking",0.0482263422998607,0.125557869681642
"Furry Glen",2022-09-01,"Eating",0.395656974604343,0.270696843359142
"Furry Glen",2022-09-01,"Grooming actor",0.0395656974604343,0.038117927337701
"Furry Glen",2022-09-01,"Grooming receiver",0.0316525579683474,0.064919594997022
"Furry Glen",2022-09-01,"Resting",0.387467795362532,0.448481238832638
"Furry Glen",2022-09-01,"Running",0.00358851674641148,0.00208457415128052
"Furry Glen",2022-09-01,"Self-scratching",0.0283400809716599,0.000595592614651578
"Furry Glen",2022-09-01,"Sleeping",0.00828119249171881,0.077724836212031
"Furry Glen",2022-09-01,"Walking",0.0424181082075819,0.0973793924955331
"Furry Glen",2023-06-01,"Eating",0.32819929708497,0.278840406455469
"Furry Glen",2023-06-01,"Grooming actor",0.0556129832540831,0.0490137477585176
"Furry Glen",2023-06-01,"Grooming receiver",0.0541658052511888,0.112074118350269
"Furry Glen",2023-06-01,"Resting",0.298532148025636,0.430364614465033
"Furry Glen",2023-06-01,"Running",0.00103369857349597,0.00627615062761506
"Furry Glen",2023-06-01,"Self-scratching",0.0473433946661154,0.000896592946802152
"Furry Glen",2023-06-01,"Sleeping",0.0956171180483771,0.0376569037656904
"Furry Glen",2023-06-01,"Walking",0.0299772586313831,0.0848774656306037
"Heelal",2022-07-01,"Eating",0.692890995260664,0.367668949091992
"Heelal",2022-07-01,"Grooming actor",0.00205371248025276,0.0300684727597499
"Heelal",2022-07-01,"Grooming receiver",0.0406003159557662,0.135754688895505
"Heelal",2022-07-01,"Resting",0.117693522906793,0.284906222089908
"Heelal",2022-07-01,"Running",0.0121642969984202,0.0136945519499851
"Heelal",2022-07-01,"Self-scratching",0.025434439178515,0.00208395355760643
"Heelal",2022-07-01,"Sleeping",0,0.0142899672521584
"Heelal",2022-07-01,"Walking",0.0921011058451817,0.151533194403096
"Heelal",2022-09-01,"Eating",0.477169888934595,0.386126823459363
"Heelal",2022-09-01,"Grooming actor",0,0.0369157487347425
"Heelal",2022-09-01,"Grooming receiver",0.0440148087206911,0.0735337898183983
"Heelal",2022-09-01,"Resting",0.374331550802139,0.331050908008336
"Heelal",2022-09-01,"Running",0.00329082682023859,0.0101220601369455
"Heelal",2022-09-01,"Self-scratching",0.0121349238996298,0.000893122953259899
"Heelal",2022-09-01,"Sleeping",0,0.0193509973206311
"Heelal",2022-09-01,"Walking",0.0413410119292472,0.142006549568324
"Kommunis",2022-07-01,"Eating",0.240969816922316,0.346944858420268
"Kommunis",2022-07-01,"Grooming actor",0,0.0464977645305514
"Kommunis",2022-07-01,"Grooming receiver",0,0.128166915052161
"Kommunis",2022-07-01,"Resting",0.370113805047006,0.318628912071535
"Kommunis",2022-07-01,"Running",0.024740227610094,0.00774962742175857
"Kommunis",2022-07-01,"Self-scratching",0.137060860959921,0.000894187779433681
"Kommunis",2022-07-01,"Sleeping",0,0.0184798807749627
"Kommunis",2022-07-01,"Walking",0.164522513607125,0.132637853949329
"Kommunis",2022-09-01,"Eating",0.450939457202505,0.398272266904975
"Kommunis",2022-09-01,"Grooming actor",0.0556082748149554,0.0408102472445636
"Kommunis",2022-09-01,"Grooming receiver",0.00910988802429303,0.0494489127196902
"Kommunis",2022-09-01,"Resting",0.24653634465743,0.347333929103366
"Kommunis",2022-09-01,"Running",0.00132852533687607,0.00238308013106941
"Kommunis",2022-09-01,"Self-scratching",0.102865818940976,0.0011915400655347
"Kommunis",2022-09-01,"Sleeping",0,0.0434912123920167
"Kommunis",2022-09-01,"Walking",0.0631998481685329,0.117068811438785
"Kommunis",2023-06-01,"Eating",0.427584474312272,0.349343675417661
"Kommunis",2023-06-01,"Grooming actor",0,0.0411694510739857
"Kommunis",2023-06-01,"Grooming receiver",0,0.0889021479713604
"Kommunis",2023-06-01,"Resting",0.413390277603316,0.371121718377088
"Kommunis",2023-06-01,"Running",0.000753674161537495,0.00507159904534606
"Kommunis",2023-06-01,"Self-scratching",0.0615500565255621,0.000894988066825776
"Kommunis",2023-06-01,"Sleeping",0.000753674161537495,0.0229713603818616
"Kommunis",2023-06-01,"Walking",0.0466021856550685,0.120525059665871
"Liffey",2022-07-01,"Eating",0.479198531661058,0.332141793267799
"Liffey",2022-07-01,"Grooming actor",0,0.0196604110813226
"Liffey",2022-07-01,"Grooming receiver",0.0120832058733558,0.0929401251117069
"Liffey",2022-07-01,"Resting",0.338329764453961,0.350014894250819
"Liffey",2022-07-01,"Running",0.0172835729580912,0.00417039022937146
"Liffey",2022-07-01,"Self-scratching",0.017895380850413,0
"Liffey",2022-07-01,"Sleeping",0,0.00655347036044087
"Liffey",2022-07-01,"Walking",0.0836647292750076,0.19451891569854
"Mieles",2022-09-01,"Eating",0,0.473637176050045
"Mieles",2022-09-01,"Grooming actor",0.392040643522439,0.10128090557045
"Mieles",2022-09-01,"Grooming receiver",0.0228619813717189,0.031277926720286
"Mieles",2022-09-01,"Resting",0.338696020321761,0.225796842418826
"Mieles",2022-09-01,"Running",0,0.00357462019660411
"Mieles",2022-09-01,"Self-scratching",0.0313293818797629,0.000595770032767352
"Mieles",2022-09-01,"Sleeping",0,0.00565981531128984
"Mieles",2022-09-01,"Walking",0,0.158176943699732
"Mieles",2023-06-01,"Eating",0.866161616161616,0.382520203531877
"Mieles",2023-06-01,"Grooming actor",0,0.113738401676145
"Mieles",2023-06-01,"Grooming receiver",0,0.066147859922179
"Mieles",2023-06-01,"Resting",0.0664983164983165,0.300209518108351
"Mieles",2023-06-01,"Running",0,0.0062855432505238
"Mieles",2023-06-01,"Self-scratching",0.0505050505050505,0
